code,ca,ba,cu,mn,zn,li,b,mg,si,sr,fe,region,length_cm,weight_kg,sex,ba_ca,cu_ca,mn_ca,zn_ca,li_ca,b_ca,mg_ca,si_ca,sr_ca,fe_ca,sr_ba
71,9898.642857,0.67345885,0.13233584,0.68140833,6.82956521,0.07348276,13.07142857,162.7857143,7.71316653,75.64285714,1.42087424,south,140,4,male,0.06803547311778722,0.013369089269284665,0.06883856098698722,0.6899496535699691,0.007423518664281877,1.3205273448931747,16.445255844833635,0.7792145490475492,7.641740209518502,0.1435423280268369,112.31993928062568
75,8364.42623,0.59494953,0.14039643,0.47511039,5.21793822,0,11.36083825,172.295082,8.93455815,69.3442623,1.60964216,south,122,5,female,0.07112855247215205,0.01678494449463272,0.056801312718374,0.6238250032363547,0,1.3582328228627347,20.59855359618612,1.0681615097464972,8.290378848855005,0.19243904073501525,116.55486525050286
229,7031.942446,0.49668431,0.1106751,0.33902527,4.4481639,0.02467047,11.43884892,124.9640288,6.60886097,59.92805755,1.04887771,south,139,7,female,0.07063259032822863,0.015738908679913278,0.04821217929518873,0.6325654588555772,0.0035083435607516063,1.6266983138502211,17.770911772903325,0.9398343374893999,8.522262235534798,0.14915902939402415,120.65623242658903
230,10076.34146,0.36898005,0.10016762,0.6459614,5.19542667,0.06272919,12.36083825,182.9268293,7.59382612,100.0813008,1.12173403,south,123,4,male,0.03661845437302201,0.009940871932301509,0.06410673978886777,0.5156064520663832,0.006225393437589997,1.2267188740148154,18.154091941620248,0.7536292959250311,9.932305410380565,0.11132354282086825,271.2377018757518
233,8545.695364,0.93154326,0.08999004,0.95509223,9.87517243,0.09083962,12.51655629,149.1390728,7.68509948,67.08609272,1.11466086,south,151,7,female,0.10900730956596735,0.010530452604137552,0.11176296244112173,1.155572719289833,0.010629868738672252,1.4646621201509051,17.45195287773425,0.8992948089835514,7.85027898403798,0.13043536102347775,72.01607869504632
252,10944.24,0.7011845,0.0869714,0.54520421,8.3023243,0.02057517,11.36083825,191.28,9.72980767,84.48,1.42348355,south,125,7,female,0.0640688161078339,0.007946773828059327,0.04981654367959767,0.7586021779493141,0.0018799998903532818,1.038065525792563,17.477686892831297,0.8890345670416584,7.719128966470034,0.1300669164784398,120.4818417977009
259,6485.488722,0.37516222,0.14169947,0.28347065,3.86831013,0.05156685,13.45864662,118.4210526,9.11557452,74.36090226,1.37098974,south,133,7,male,0.05784640696812547,0.021848695768960123,0.043708448530395884,0.596456226479581,0.007951112431215171,2.075193897777624,18.25938763848181,1.4055339405769456,11.465736114497247,0.21139343521627665,198.20999635837532
261,15266.63793,0.98034954,0.06353866,0.47511039,9.0863438,0.03695254,12.36083825,241.3793103,9.3642971,122.5862069,0.89971697,south,116,5,male,0.064215156244293,0.004161928794757235,0.03112082648311028,0.5951764783878646,0.002420476608499747,0.8096634181459231,15.810901614799741,0.6133830606933114,8.02967932180468,0.05893353691397854,125.04336657311023
262,10363.08943,1.29143471,0.13977863,0.52620472,8.5906883,0.04878937,12.84552846,188.3739837,8.11406997,92.84552846,1.30959421,south,123,4,male,0.12461869780467581,0.013488123492918653,0.05077681936013168,0.8289698123352005,0.004707994689186041,1.2395462324983526,18.17739632301909,0.7829778971616961,8.959251880160606,0.12637102273853484,71.89331968628905
266,10355.13158,2.76603116,0.08575084,0.30003324,7.78298177,0.12408274,11.18421053,173.2894737,6.75553087,107.8289474,1.24642787,south,152,8,female,0.26711694956559884,0.008280999554425749,0.028974353216282358,0.7516062649587307,0.011982729436258888,1.0800645499861432,16.734647199915155,0.6523848410625411,10.413092925662275,0.12036813442403405,38.98327284208903
269,10687.28571,1.71411965,0.09065613,0.51380943,8.69583236,0.12247127,12.28571429,190.2142857,7.43829299,106.2142857,1.60296708,south,140,6,female,0.1603886802049386,0.008482614993175848,0.04807670010349148,0.8136614474396793,0.01145952988656462,1.1495635677171392,17.798184764726386,0.6959945857010311,9.93837804865797,0.14998823120262592,61.964335861851886
272,8261.724138,0.54649234,0.17307813,0.27277626,5.73628649,0.02217152,13.18965517,123.1896552,7.78023298,64.31034483,1.76436764,south,116,5,male,0.06614749305007599,0.020949395926199346,0.03301686856685991,0.6943207488151065,0.002683643223818326,1.5964773151083396,14.910889439334607,0.9417202571815041,7.78413122440182,0.21355925355637914,117.67840118307971
275,7610.33557,0.71148729,0.0653196,0.16665378,3.00983128,0.04602947,10.80536913,131.5436242,6.15299794,64.96644295,1.22312193,south,149,10,female,0.09348960810672899,0.00858301180009596,0.021898348432485743,0.3954925840412054,0.006048283886646013,1.4198282100193909,17.284865166596063,0.8085054704098942,8.536606875273437,0.16071852794790756,91.31075686538266
310,9359.640719,0.82858645,0.11648656,0.77511039,5.5254944,0.06160232,9.82035928,156.4071856,5.11309299,80.5988024,1.20964216,south,167,5,female,0.08852759148307644,0.012445623020927839,0.08281411789947574,0.5903532588364517,0.006581697081058651,1.0492239579308575,16.710810841541658,0.5462915878405952,8.611313705277707,0.12924023435476914,97.27265320353717
375,11825.60976,0.35641284,0.05208443,0.42815126,5.43006755,0.04878937,11.8699187,189.5121951,5.98081352,95.12195122,1.27489878,south,123,5.5,male,0.03013906658797102,0.004404375846747035,0.036205427769840426,0.4591786521120582,0.004125738206331612,1.0037468630285666,16.02557491293371,0.5057509626463439,8.04372486074663,0.10780829114726344,266.8869932407598
391,11128.58156,0.41846699,0.04793479,0.71425204,7.8060874,0.09120201,9.85815603,188.1560284,3.99418122,88.58156028,0.96859415,south,141,7,male,0.037602904534043774,0.004307358466266208,0.0641817680132094,0.701444955757686,0.008195295106414263,0.8858411987951499,16.90745827629087,0.3589119779969515,7.959824870978436,0.08703662230247428,211.68111797778843
392,10678.66667,0.36240688,0.05979634,0.60801159,6.11785829,0,10.58333333,179.0833333,4.00482562,85.66666667,1.16011919,south,120,4,male,0.03393746534088604,0.005599607315020724,0.05693703238327599,0.5729046967246519,0,0.9910725427671766,16.77019602111056,0.37503049245379244,8.022224994686532,0.10863895520394588,236.38256169419302
405,7789.757576,0.41554748,0.04006914,0.34899637,4.35286464,0.0103915,7.81818182,129.7575758,3.45775047,66.90909091,0.71446976,south,165,10,female,0.05334536741942893,0.005143823746640303,0.04480195520785485,0.5587933382434186,0.0013339953007030522,1.0036489253641954,16.657460072926924,0.443884220563323,8.589367545422059,0.09171912643356951,161.01431035028776
418,9500.5,0.51659709,0.05477016,0.27271537,5.49796774,0.04286495,9.66666667,184.8333333,4.12805812,80,0.89901894,south,120,4,male,0.05437577916951739,0.005764976580179991,0.02870537024367139,0.5787029882637755,0.004511862533550866,1.0174903078785327,19.455116393874004,0.4345095647597495,8.420609441608336,0.094628592179359,154.8595637656418
420,11428.07143,1.28012527,0.10840694,0.40448013,8.75092255,0.04898851,7.21428571,198.2857143,3.91338491,114,0.86776569,south,140,6,female,0.11201586180495199,0.00948602226228822,0.035393559838818756,0.7657392241203379,0.004286682166808963,0.6312776179418753,17.350759094791552,0.3424361611642464,9.975436424096625,0.07593281992638018,89.05378455656921
2,12109.84375,1.33490538,0.24842782,0.90410077,9.02259524,0.03348824,3.828125,198.359375,17.39424966,92.03125,2.0494836,north,128,6.4,male,0.11023308042269331,0.020514535540559722,0.07465833487735958,0.7450628948040721,0.002765373417803182,0.3161167954788847,16.380011096344656,1.4363727574932583,7.599705817839309,0.16924112666606453,68.94215228947539
30,9887.642857,1.38043764,0.17342825,0.9787453,8.47165245535217,0.07348276,11.64285714,166.9285714,8.15671567,78.14285714,1.88240343,north,140,8.9,female,0.13961240914185255,0.01753989828599247,0.09898671646570374,0.8567919147033741,0.007431777326784972,1.1775159467615064,16.88254458764378,0.8249403612131295,7.9030824909577335,0.19037939145095073,56.60730689725325
4,11181.49254,0.98234506,0.23038756,0.703352,7.20462152,0.03198877,7.5111,157.1641791,11.90094661,84.85074627,1.48694007,north,134,6.1,male,0.08785455577471593,0.02060436557783546,0.06290323026947171,0.644334510283544,0.0028608676243860377,0.6717439530662156,14.055742427745699,1.0643432947279863,7.588499117310148,0.1329822530114571,86.37570414412224
6,12454.55224,1.09172478,0.23167888,0.78135389,9.47641502,0.03838652,7.5111,208.4328358,20.51814799,94.92537313,1.07519819,north,134,7.3,female,0.0876566864036856,0.018601943733948318,0.06273640954273278,0.7608796235616414,0.0030821276638685487,0.6030806933288836,16.73547404864392,1.6474416417879987,7.621741135352129,0.08632973464488033,86.9499116160027
7,8042.948718,0.64838209,0.16431902,0.41098484,7.0533489139659,0.03297303,7.5111,138.3974359,12.44,64.74358974,0.96153146,north,156,8.7,female,0.0806149725347534,0.020430196158313988,0.05109877663153839,0.876960572703965,0.0040996195743741165,0.9338739140770934,17.207300550141344,1.5466964214454662,8.04973300340767,0.11954961963739827,99.8540686711442
10,9770.923077,0.71971533,0.17587449,0.44502961,6.43618964,0.00659461,2.84615385,174.3846154,11.90094661,68,1.55535135,north,130,6.4,female,0.07365888814478076,0.017999782478484043,0.04554632213281522,0.6587084545932302,6.749219032870297e-4,0.29128812370856,17.84730204359995,1.2179961418398546,6.959424351632321,0.1591816185372677,94.48180018619306
12,10308.63636,0.66094971,0.13496182,0.86919333,8.39454945169121,0.05566876,2.53246753,158.7662338,17.39424966,81.55844156,1.42828132,north,154,7.1,female,0.0641161145779324,0.013092111826127118,0.08431700368951611,0.8143220071535446,0.005400206007460719,0.24566464870432192,15.401283763975936,1.6873472933329854,7.911661514850447,0.1385519160945551,123.39583530492813
15,10327.3125,0.83597962,0.10814279,0.65953098,7.20078726,0.06429742,2.6875,163.625,14.30623775,83.3125,1.00644996,north,160,8.8,female,0.0809484190586854,0.010471532647046363,0.06386278908476914,0.6972566444561449,0.006225958592809116,0.2602322724329297,15.843909051846742,1.3852817710319116,8.06720044542082,0.09745516657891393,99.65852995315842
17,9999.548872,0.64878105,0.15582509,0.53579531,7.29145444,0.02578343,3.08270677,180.4511278,13.61595485,78.12030075,1.76984763,north,133,6.8,female,0.06488103196501883,0.01558321200232642,0.053581948231714194,0.7291783392765842,0.0025784593215196798,0.3082845845808073,18.045926882290257,1.361656913155992,7.812382513449854,0.17699274763842568,120.41088553680784
18,12686.26866,1.26882018,0.163207,1.1078377,11.16306915,0.09596629,2.3880597,207.0149254,12.53053762,120.5223881,1.38240343,north,134,7.1,male,0.10001523805030313,0.012864854463834128,0.0873257322299211,0.879933213553748,0.007564579670504944,0.1882397231212349,16.31803101038852,0.987724440954729,9.50022353538901,0.1089684813595931,94.98776107107628
19,10193.30645,1.00071382,0.10977594,0.70411223,7.77812471,0.0276548,2.41935484,168.7096774,13.21752636,78.70967742,1.10585863,north,124,5.7,male,0.0981736225540438,0.010769414275777022,0.06907594051584705,0.7630619905477285,0.00271303527816531,0.23734740556142114,16.55102573709044,1.2966868429625207,7.721702256876619,0.10848870633139848,78.65353295510599
20,13264.70588,1.38681982,0.16180309,0.65749928,9.55365612,0.03602096,10.16806723,218.5714286,14.1792541,88.82352941,1.47518251,north,119,5,male,0.10454960950856755,0.012198015656265725,0.049567573223870086,0.7202312819015931,0.0027155490913907845,0.7665505230184568,16.477668677867438,1.068945985555467,6.696230599724387,0.1112110983345829,64.04835590682575
21,12464.4186,0.99756382,0.1356162,0.3577614,8.14464614,0.0465201,9.76744186,226.2790698,11.40100141,101.5503876,1.33182903,north,129,6.3,male,0.08003292026793772,0.010880266810037974,0.02870261433613919,0.6534316923534645,0.0037322318427271046,0.7836259494686739,18.15400116616751,0.9146837711307287,8.147222173684057,0.1068504735551805,101.79838679393966
22,14001.68067,1.49962162,0.15819906,0.77691255,12.08147711,0.06483773,11.42857143,219.5798319,12.76708752,120.0840336,2.0109483,north,119,5,male,0.10710297251765563,0.0112985764872468,0.055487092464879074,0.8628590663323563,0.00463071052169625,0.8162285442266125,15.682391069700062,0.9118253601765652,8.576401392819367,0.14362192278164562,80.07622189389346
23,11086.21429,0.66816026,0.12867387,0.73112552,7.53779513,0.07348276,10.5,204.7857143,9.97364655,91,1.50585968,north,140,7.6,male,0.060269470039262606,0.011606655494298585,0.06594906979738707,0.6799250792760926,0.006628300525120014,0.9471222299456382,18.472104989412035,0.8996440343929163,8.208392659528863,0.13583173124826906,136.19487037436198
24,9966.764706,0.9334887,0.11267898,0.47491454,6.06557356,0.01891101,11.39705882,155.0735294,9.02302682,75.66176471,1.07262641,north,136,7,male,0.09366015226967675,0.011305472068801541,0.04764981957626641,0.6085799894873127,0.001897407088241539,1.1435063590032342,15.559063946462551,0.9053115114243774,7.591406734469366,0.10762032029854965,81.05268409783643
25,9404.065041,0.55258338,0.09272715,0.61210984,6.05080873,0,12.68292683,174.2276423,9.73031491,64.87804878,1.12753953,north,123,6.2,male,0.05876005510285581,0.009860326315877932,0.06508991987308821,0.6434248065724325,0,1.3486643036500452,18.526843608630887,1.0346924300903504,6.89893662975996,0.11989916329631221,117.40861402671938
26,9943.615385,0.80279147,0.10143679,1.05215093,6.31613471,0.02637843,13.23076923,158.0769231,9.12072146,70.53846154,1.18856914,north,130,6.2,male,0.08073436460656107,0.010201198062529447,0.10581170824317841,0.6351949935159323,0.0026528007146969916,1.330579343400459,15.897328786314478,0.9172439909289595,7.093844523231226,0.1195308842891252,87.86648111744387
27,12864.88,0.8926153,0.11943527,1.15318735,9.55145836,0.04115035,13.2,209.36,10.05023447,98.16,1.41378535,north,125,5.9,male,0.06938388076686296,0.009283823090460231,0.08963840704305055,0.7424444192250531,0.0031986578965369286,1.0260492130513459,16.27376236700226,0.7812147855246221,7.630075057054555,0.10989495043871378,109.96898663959715
28,11372.61538,1.07107902,0.10482618,0.61562227,10.90074618,0.05935146,13.15384615,191.9230769,9.3034591,89.46153846,1.31797955,north,130,6.2,male,0.09418053668495734,0.009217420663354924,0.05413198718411245,0.9585082952132689,0.00521880482341609,1.1566245503327661,16.875896219748885,0.8180580094497137,7.8663997216795005,0.11589062902081544,83.52468565764643
